id,created_at,suhu,kelembapan,cahaya,kondisi
3437,2026-06-10 16:53:01.798612+00,24.8,79.3,3841,GELAP
3438,2026-06-10 16:58:12.018157+00,24.8,80.7,3839,GELAP
3439,2026-06-10 17:29:13.416595+00,24.5,81,3841,GELAP
3440,2026-06-10 17:39:27.465905+00,24.5,81.1,3842,GELAP
3441,2026-06-10 17:44:39.395323+00,24.5,81,3823,GELAP
3442,2026-06-10 17:49:44.681617+00,24.5,81,3831,GELAP
3443,2026-06-10 17:54:48.259552+00,24.5,81,3841,GELAP
3444,2026-06-10 17:59:49.131574+00,24.5,81.2,3842,GELAP
3445,2026-06-10 18:04:54.492098+00,24.5,81,3843,GELAP
3446,2026-06-10 18:09:55.100799+00,24.5,81.1,3837,GELAP
3447,2026-06-10 18:14:56.125797+00,24.5,81.6,3842,GELAP
3448,2026-06-10 18:25:02.250498+00,24.4,82.2,3832,GELAP
3449,2026-06-10 18:35:22.28129+00,24.4,82.1,3841,GELAP
3450,2026-06-10 18:40:23.111731+00,24.3,83,3839,GELAP
3451,2026-06-10 18:55:30.283546+00,24.1,85,3836,GELAP
3452,2026-06-10 19:00:31.244044+00,24.1,85,3837,GELAP
3453,2026-06-10 19:05:32.14845+00,24.1,84.1,3839,GELAP
3454,2026-06-10 19:15:47.284339+00,24.1,83.1,3827,GELAP
3455,2026-06-10 19:20:50.065034+00,24.1,81.6,3836,GELAP
3456,2026-06-10 19:25:50.895325+00,24.1,82.6,3837,GELAP
3457,2026-06-10 19:30:51.643519+00,24.1,81,3838,GELAP
3458,2026-06-10 19:41:05.716119+00,24.1,78.7,3839,GELAP
3459,2026-06-10 19:46:06.241217+00,24.1,77.2,3837,GELAP
3460,2026-06-10 19:51:07.285287+00,24.1,77,3837,GELAP
3461,2026-06-10 19:56:07.890076+00,24.1,77,3840,GELAP
3462,2026-06-10 20:01:08.552119+00,24.1,77,3833,GELAP
3463,2026-06-10 20:06:09.3991+00,24.1,77.1,3825,GELAP
3464,2026-06-10 20:11:10.044242+00,24.1,77.3,3832,GELAP
3465,2026-06-10 20:16:10.950671+00,24,78.1,3838,GELAP
3466,2026-06-10 20:21:11.695131+00,23.8,79,3835,GELAP
3467,2026-06-10 20:26:12.639459+00,23.8,79.3,3834,GELAP
3468,2026-06-10 20:31:23.713051+00,23.8,79.8,3836,GELAP
3469,2026-06-10 20:36:31.121772+00,23.8,80.9,3834,GELAP
3470,2026-06-10 20:41:31.778165+00,23.8,81,3830,GELAP
3471,2026-06-10 20:46:32.749343+00,23.8,81.2,3829,GELAP
3472,2026-06-10 20:51:34.736584+00,23.5,82.4,3831,GELAP
3473,2026-06-10 20:56:37.70484+00,23.5,83.5,3832,GELAP
3474,2026-06-10 21:01:39.53355+00,23.4,83.9,3831,GELAP
3475,2026-06-10 21:06:41.01719+00,23.8,82.5,3827,GELAP
3476,2026-06-10 21:11:42.642571+00,23.7,83.5,3830,GELAP
3477,2026-06-10 21:16:43.368044+00,23.6,84,3829,GELAP
3478,2026-06-10 21:21:43.973246+00,23.7,83.6,3829,GELAP
3479,2026-06-10 21:26:44.831362+00,23.8,83.7,3835,GELAP
3480,2026-06-10 21:31:45.796016+00,23.6,85,3836,GELAP
3481,2026-06-10 21:36:46.671105+00,23.4,85.5,3832,GELAP
3482,2026-06-10 21:41:47.265189+00,23.6,85.3,3834,GELAP
3483,2026-06-10 21:46:48.062982+00,23.6,85.3,3829,GELAP
3484,2026-06-10 21:51:48.659497+00,23.8,85,3830,GELAP
3485,2026-06-10 21:56:49.549662+00,23.8,84.1,3834,GELAP
3486,2026-06-10 22:01:50.202887+00,23.9,83.4,3823,GELAP
3487,2026-06-10 22:06:51.032193+00,23.8,83.8,3837,GELAP
3488,2026-06-10 22:11:51.675322+00,24,83,3833,GELAP
3489,2026-06-10 22:16:53.203878+00,24.1,82,3834,GELAP
3490,2026-06-10 22:21:56.648148+00,24.1,81.2,3827,GELAP
3491,2026-06-10 22:26:59.406307+00,24.1,81.8,3800,GELAP
3492,2026-06-10 23:29:21.907663+00,24.4,81.1,858,TERANG
3493,2026-06-10 23:34:24.6681+00,24.5,81,808,TERANG
3494,2026-06-10 23:39:28.779523+00,24.5,80.8,768,TERANG
3495,2026-06-10 23:44:29.580685+00,24.6,80.3,739,TERANG
3496,2026-06-10 23:49:30.196021+00,24.8,79.4,712,TERANG
3497,2026-06-10 23:54:31.076786+00,24.9,78.5,689,TERANG
3498,2026-06-10 23:59:31.927711+00,25.3,77.2,674,TERANG
3499,2026-06-11 00:04:32.989735+00,25.3,77,656,TERANG
3500,2026-06-11 00:09:33.769197+00,25.6,77,651,TERANG
3501,2026-06-11 00:14:34.641114+00,25.8,76.4,638,TERANG
3502,2026-06-11 00:19:35.367041+00,25.8,75.6,631,TERANG
3503,2026-06-11 00:24:36.253362+00,26,74.7,617,TERANG
3504,2026-06-11 00:29:37.168429+00,26.2,73.6,612,TERANG
3505,2026-06-11 00:34:37.984113+00,26.2,73,601,TERANG
3506,2026-06-11 00:39:38.75344+00,26.2,73,589,TERANG
3507,2026-06-11 00:44:39.624058+00,26.6,72.9,578,TERANG
3508,2026-06-11 00:49:40.420416+00,26.7,72.7,575,TERANG
3509,2026-06-11 00:54:41.183879+00,26.7,72,571,TERANG
3510,2026-06-11 00:59:41.860434+00,26.7,71.8,565,TERANG
3511,2026-06-11 01:04:42.681049+00,26.8,71.3,554,TERANG
3512,2026-06-11 01:09:43.448032+00,27.1,70.6,550,TERANG
3513,2026-06-11 01:14:44.213857+00,27.1,70.1,552,TERANG
3514,2026-06-11 01:19:45.315519+00,27.5,69.9,539,TERANG
3515,2026-06-11 01:24:46.158567+00,27.6,69.2,540,TERANG
3516,2026-06-11 01:29:46.889042+00,27.8,68.1,530,TERANG
3517,2026-06-11 01:34:47.727098+00,28,66.8,524,TERANG
3518,2026-06-11 01:39:48.546118+00,28,67,523,TERANG
3519,2026-06-11 01:44:49.444258+00,28,66.3,515,TERANG
3520,2026-06-11 01:49:50.316169+00,28.1,65.8,504,TERANG
3521,2026-06-11 01:54:51.321288+00,28.4,65.4,501,TERANG
3522,2026-06-11 01:59:52.231778+00,28.5,64.1,492,TERANG
3523,2026-06-11 02:04:53.089044+00,28.6,63.5,492,TERANG
3524,2026-06-11 02:09:53.792107+00,28.9,63,486,TERANG
3525,2026-06-11 02:14:54.671201+00,28.9,62.9,478,TERANG
3526,2026-06-11 02:19:55.420972+00,28.9,62,474,TERANG
3527,2026-06-11 02:24:56.321571+00,29.2,60.7,468,TERANG
3528,2026-06-11 02:29:57.060786+00,29.3,60.7,466,TERANG
3529,2026-06-11 02:34:58.395561+00,29.3,60,461,TERANG
3530,2026-06-11 02:39:59.188997+00,29.4,59.4,454,TERANG
3531,2026-06-11 02:45:00.116348+00,29.8,59.1,449,TERANG
3532,2026-06-11 02:50:00.982182+00,29.8,58.5,448,TERANG
3533,2026-06-11 02:55:01.9688+00,29.8,58.5,443,TERANG
3534,2026-06-11 03:00:02.862827+00,29.8,57.7,438,TERANG
3535,2026-06-11 03:05:03.700347+00,30,57.3,435,TERANG
3536,2026-06-11 03:10:04.488833+00,30.2,56.1,431,TERANG
3537,2026-06-11 03:15:05.565216+00,30.4,55.5,423,TERANG
3538,2026-06-11 03:20:07.327056+00,30.3,56,421,TERANG
3539,2026-06-11 03:25:08.165478+00,30.7,56,416,TERANG
3540,2026-06-11 03:35:22.388909+00,30.8,54.9,414,TERANG
3541,2026-06-11 03:40:23.256684+00,30.8,55,411,TERANG
3542,2026-06-11 03:45:24.240776+00,31,55,414,TERANG
3543,2026-06-11 03:50:25.351066+00,31.3,54.2,401,TERANG
3544,2026-06-11 03:55:26.359576+00,31.3,55,404,TERANG
3545,2026-06-11 04:00:27.467704+00,31.6,54.8,395,TERANG
3546,2026-06-11 04:05:28.322817+00,31.8,54.1,399,TERANG
3547,2026-06-11 04:10:28.985995+00,31.8,54.2,391,TERANG
3548,2026-06-11 04:15:29.983701+00,31.7,54,387,TERANG
3549,2026-06-11 04:20:30.697331+00,32,53.5,384,TERANG
3550,2026-06-11 04:25:34.110088+00,31.9,53,384,TERANG
3551,2026-06-11 04:30:35.286307+00,31.8,53,375,TERANG
3552,2026-06-11 04:35:37.376979+00,32.3,52.4,381,TERANG
3553,2026-06-11 04:40:38.292015+00,32.7,52,375,TERANG
3554,2026-06-11 04:45:39.082355+00,32.6,51.5,375,TERANG
3555,2026-06-11 04:50:39.768585+00,32.5,51.4,372,TERANG
3556,2026-06-11 04:55:40.697246+00,32.7,51,368,TERANG
3557,2026-06-11 05:00:41.47378+00,32.8,50.5,359,TERANG
3558,2026-06-11 05:05:42.366901+00,33.2,49.5,352,TERANG
3559,2026-06-11 05:10:43.288322+00,33.2,49.2,343,TERANG
3560,2026-06-11 05:15:44.19009+00,33.4,48.2,335,TERANG
3561,2026-06-11 05:20:45.067028+00,33.3,48,327,TERANG
3562,2026-06-11 05:25:45.80458+00,33.8,47.2,321,TERANG
3563,2026-06-11 05:30:46.621666+00,33.9,46.7,314,TERANG
3564,2026-06-11 05:35:48.635391+00,34.2,46.1,308,TERANG
3565,2026-06-11 05:40:49.560647+00,34.2,46.1,302,TERANG
3566,2026-06-11 05:45:50.459431+00,34.5,45.6,299,TERANG
3567,2026-06-11 05:50:51.333922+00,34.8,44.8,293,TERANG
3568,2026-06-11 05:55:52.060038+00,35.1,44.1,293,TERANG
3569,2026-06-11 06:00:53.764652+00,35.6,42.2,293,TERANG
3570,2026-06-11 06:05:54.731169+00,35.2,41,290,TERANG
3571,2026-06-11 06:10:58.007629+00,35.6,41.8,294,TERANG
3572,2026-06-11 06:15:59.065372+00,36,40.8,291,TERANG
3573,2026-06-11 06:21:08.066187+00,36.3,40,288,TERANG
3574,2026-06-11 06:26:09.526597+00,36.3,39.7,290,TERANG
3575,2026-06-11 06:31:10.437302+00,36.3,39.3,288,TERANG
3576,2026-06-11 06:36:11.328363+00,36.5,38.5,282,TERANG
3577,2026-06-11 06:41:12.396688+00,36.8,37.9,283,TERANG
3578,2026-06-11 06:46:19.958123+00,37,37.5,277,TERANG
3579,2026-06-11 06:51:21.161852+00,37,37.1,273,TERANG
3580,2026-06-11 06:56:21.988855+00,36.9,37,274,TERANG
3581,2026-06-11 07:01:22.701836+00,37,37.2,272,TERANG
3582,2026-06-11 07:06:26.05749+00,37.3,37,271,TERANG
3583,2026-06-11 07:11:26.999966+00,37.2,36.2,273,TERANG
3584,2026-06-11 07:16:27.762471+00,37.4,35.7,262,TERANG
3585,2026-06-11 07:21:28.792233+00,37.8,35.6,167,TERANG
3586,2026-06-11 07:36:40.47525+00,38,34.2,163,TERANG
3587,2026-06-11 07:41:41.492915+00,38.3,34.1,174,TERANG
3588,2026-06-11 07:46:42.420191+00,37.5,35.3,193,TERANG
3589,2026-06-11 07:51:43.117128+00,36.9,36.2,207,TERANG
3590,2026-06-11 08:01:47.106535+00,35.9,36.9,269,TERANG
3591,2026-06-11 08:06:49.631599+00,36.3,36.3,231,TERANG
3592,2026-06-11 08:11:54.040823+00,35.7,37.3,281,TERANG
3593,2026-06-11 08:16:55.005071+00,35.2,38,289,TERANG
3594,2026-06-11 08:21:58.136681+00,35.2,37.8,297,TERANG
3595,2026-06-11 08:26:59.183876+00,34.9,37.6,301,TERANG
3596,2026-06-11 08:37:10.234424+00,34.7,39.3,313,TERANG
3597,2026-06-11 08:42:11.50201+00,34.5,39.3,315,TERANG
3598,2026-06-11 08:47:12.504547+00,34.4,39.8,322,TERANG
3599,2026-06-11 08:52:14.429084+00,34.2,39.7,329,TERANG
3600,2026-06-11 08:57:17.013955+00,34.2,39.7,331,TERANG
3601,2026-06-11 09:02:18.714847+00,34.1,39.5,340,TERANG
3602,2026-06-11 09:07:27.343024+00,33.9,40,350,TERANG
3603,2026-06-11 09:12:38.257483+00,33.8,40.6,365,TERANG
3604,2026-06-11 09:17:39.629195+00,33.8,41.8,372,TERANG
3605,2026-06-11 09:22:40.339807+00,33.6,43.2,385,TERANG
3606,2026-06-11 09:27:41.427723+00,33.3,44,399,TERANG
3607,2026-06-11 09:32:42.378447+00,33.3,44.7,420,TERANG
3608,2026-06-11 09:37:42.971495+00,33.3,45,443,TERANG
3609,2026-06-11 09:47:51.046004+00,33.2,45.2,498,TERANG
3610,2026-06-11 09:58:05.226631+00,32.8,47,583,TERANG
3611,2026-06-11 10:03:06.396569+00,32.8,47,617,TERANG
3612,2026-06-11 10:08:07.51281+00,32.4,47,665,TERANG
3613,2026-06-11 10:13:08.235614+00,32.3,47,733,TERANG
3614,2026-06-11 10:18:09.166616+00,32.1,47,872,TERANG
3615,2026-06-11 10:23:10.108497+00,31.8,47,1087,TERANG
3616,2026-06-11 10:28:11.086838+00,31.8,47.8,1336,TERANG
3617,2026-06-11 10:33:12.085198+00,31.8,47.8,1561,TERANG
3618,2026-06-11 10:38:12.980127+00,31.5,49,1776,TERANG
3619,2026-06-11 10:43:14.723167+00,31.3,49.5,1967,TERANG
3620,2026-06-11 10:48:15.689058+00,31.3,49.8,2099,TERANG
3621,2026-06-11 10:53:16.850299+00,31.2,50.9,2147,TERANG
3622,2026-06-11 10:58:17.766122+00,30.8,52.1,2148,TERANG
3623,2026-06-11 11:03:19.268696+00,30.3,53.5,2159,TERANG
3624,2026-06-11 11:08:20.037404+00,30.2,54.7,2161,TERANG
3625,2026-06-11 11:13:20.610986+00,29.8,56.9,2158,TERANG
3626,2026-06-11 11:18:21.435819+00,29.8,57,2160,TERANG
3627,2026-06-11 11:23:22.06962+00,29.6,58,2162,TERANG
3628,2026-06-11 11:28:23.356378+00,29.4,58.2,2160,TERANG
3629,2026-06-11 11:33:24.177624+00,30.1,57,2158,TERANG
3630,2026-06-11 11:38:25.067744+00,30.2,60.1,2151,TERANG
3631,2026-06-11 11:43:25.743292+00,30.2,63.3,2152,TERANG
3632,2026-06-11 11:48:26.705455+00,30.1,66.5,2150,TERANG
3633,2026-06-11 11:53:27.698085+00,29.8,68,2157,TERANG
3634,2026-06-11 11:58:29.513894+00,29.8,68.4,2151,TERANG
3635,2026-06-11 12:03:30.555841+00,29.7,68.7,2140,TERANG
3636,2026-06-11 12:08:32.46853+00,29.3,69.8,2162,TERANG
3637,2026-06-11 12:13:41.025796+00,29.3,70.3,2145,TERANG
3638,2026-06-11 12:18:41.773581+00,28.9,71.6,2161,TERANG
3639,2026-06-11 12:23:44.168337+00,28.9,72,2162,TERANG
3640,2026-06-11 12:28:47.055049+00,28.9,72.1,2173,TERANG
3641,2026-06-11 12:33:47.535926+00,28.9,73,2168,TERANG
3642,2026-06-11 12:38:48.855969+00,28.9,74.3,2166,TERANG
3643,2026-06-11 12:43:49.37317+00,28.7,74.9,2158,TERANG
3644,2026-06-11 12:48:50.337192+00,28.8,74.7,2163,TERANG
3645,2026-06-11 12:53:51.306999+00,28.6,75.5,2169,TERANG
3646,2026-06-11 12:58:52.977026+00,28.3,76.7,2130,TERANG
3647,2026-06-11 13:03:53.786958+00,28.3,77.5,2127,TERANG
3648,2026-06-11 13:08:54.628897+00,28.5,77,2127,TERANG
3649,2026-06-11 13:13:55.557146+00,28.5,76.6,2137,TERANG
3650,2026-06-11 13:18:56.318477+00,28.4,76.3,2135,TERANG
3651,2026-06-11 13:23:57.556541+00,28.4,76.3,2137,TERANG
3652,2026-06-11 13:29:08.151687+00,28.2,76.3,2135,TERANG
3653,2026-06-11 13:34:09.929125+00,28.2,76.5,2139,TERANG
3654,2026-06-11 13:39:10.700502+00,28.1,77.1,2110,TERANG
3655,2026-06-11 13:44:11.808267+00,28,79,2131,TERANG
3656,2026-06-11 13:49:12.610696+00,27.7,79.9,2141,TERANG
3657,2026-06-11 13:54:13.622625+00,27.6,80.5,2139,TERANG
3658,2026-06-11 13:59:14.467802+00,27.6,81,2117,TERANG
3659,2026-06-11 14:04:15.915888+00,27.8,79.9,2138,TERANG
3660,2026-06-11 14:09:17.337462+00,27.6,80.4,2142,TERANG
3661,2026-06-11 14:14:18.21591+00,27.6,80.8,2113,TERANG
3662,2026-06-11 14:19:26.315694+00,27.6,79.2,2120,TERANG
3663,2026-06-11 14:24:28.121892+00,27.6,79.7,2120,TERANG
3664,2026-06-11 14:29:30.205275+00,27.6,80,2142,TERANG
3665,2026-06-11 14:34:31.221324+00,27.6,79.2,2148,TERANG
3666,2026-06-11 14:39:32.03363+00,27.2,80.9,2144,TERANG
3667,2026-06-11 14:44:33.570746+00,27.1,81.3,2124,TERANG
3668,2026-06-11 14:49:34.409031+00,27.1,81,2137,TERANG
3669,2026-06-11 14:54:35.254514+00,27.1,80,2132,TERANG
3670,2026-06-11 14:59:36.025332+00,27.1,78.3,2147,TERANG
3671,2026-06-11 15:04:36.888693+00,27.1,77.2,2129,TERANG
3672,2026-06-11 15:09:38.051013+00,27.1,76.9,2132,TERANG
3673,2026-06-11 15:14:39.051959+00,27.1,75.5,2144,TERANG
3674,2026-06-11 15:19:39.671813+00,26.8,76.2,2135,TERANG
3675,2026-06-11 15:24:40.823936+00,26.7,76,2125,TERANG
3676,2026-06-11 15:29:41.680771+00,26.7,76.6,2134,TERANG
3677,2026-06-11 15:34:42.952624+00,26.7,77,2148,TERANG
3678,2026-06-11 15:39:43.875729+00,27,77,2139,TERANG
3679,2026-06-11 15:44:49.283402+00,27.1,78.7,2142,TERANG
3680,2026-06-11 15:49:50.282922+00,27.1,80.1,2122,TERANG
3681,2026-06-11 15:54:52.21375+00,27.1,80.9,2143,TERANG
3682,2026-06-11 15:59:53.245893+00,27.1,81,2152,TERANG
3683,2026-06-11 16:04:54.321851+00,27.1,81,2127,TERANG
3684,2026-06-11 16:09:55.470801+00,26.9,81.2,2154,TERANG
3685,2026-06-11 16:14:56.586389+00,26.7,83.4,2129,TERANG
3686,2026-06-11 16:19:57.749653+00,26.5,85,2150,TERANG
3687,2026-06-11 16:25:00.224452+00,26.3,85,2132,TERANG
3688,2026-06-11 16:30:02.667777+00,26.2,85.3,2149,TERANG
3689,2026-06-11 16:35:04.035694+00,26.2,85.8,2155,TERANG
3690,2026-06-11 16:40:05.387652+00,26.2,86,3695,GELAP
3691,2026-06-11 16:45:06.96996+00,26.2,86,3824,GELAP
3692,2026-06-11 16:50:07.820728+00,26.2,87.2,3816,GELAP
3693,2026-06-11 16:55:08.871426+00,26.2,87.9,3821,GELAP
3694,2026-06-11 17:00:09.639237+00,26.2,87.8,3815,GELAP
3695,2026-06-11 17:05:10.681582+00,26.2,85.9,3814,GELAP
3696,2026-06-11 17:10:11.35199+00,26.2,86.4,3817,GELAP
3697,2026-06-11 17:15:12.355829+00,26.2,87.4,3823,GELAP
3698,2026-06-11 17:20:13.145649+00,26.2,88.7,3819,GELAP
3699,2026-06-11 17:30:30.35258+00,26.2,88.9,3821,GELAP
3700,2026-06-11 17:35:31.515692+00,26.2,88.8,3822,GELAP
3701,2026-06-11 17:40:32.147789+00,26.2,88.7,3822,GELAP
3702,2026-06-11 17:45:33.231288+00,26.2,89,3821,GELAP
3703,2026-06-11 17:55:41.725497+00,26.2,89,3824,GELAP
3704,2026-06-11 18:00:42.657905+00,26.4,88.3,3825,GELAP
3705,2026-06-11 18:05:49.692533+00,26.7,86,3818,GELAP
3706,2026-06-11 18:10:50.701611+00,26.7,84.1,3824,GELAP
3707,2026-06-11 18:15:51.673578+00,26.7,82.7,3824,GELAP
3708,2026-06-11 18:20:53.741796+00,26.7,81.1,3827,GELAP
3709,2026-06-11 18:25:54.649025+00,26.5,81.1,3821,GELAP
3710,2026-06-11 18:30:55.499206+00,26.5,80.6,3820,GELAP
3711,2026-06-11 18:35:56.359098+00,26.7,77.4,3827,GELAP
3712,2026-06-11 18:40:57.32437+00,26.7,76.3,3828,GELAP
3713,2026-06-11 18:45:58.091342+00,26.7,75.3,3825,GELAP
3714,2026-06-11 18:50:58.597303+00,26.7,75.4,3816,GELAP
3715,2026-06-11 18:55:59.571503+00,26.7,76.2,3830,GELAP
3716,2026-06-11 19:01:00.514023+00,26.7,76.9,3830,GELAP
3717,2026-06-11 19:06:01.297387+00,26.5,77.3,3832,GELAP
3718,2026-06-11 19:11:01.80411+00,26.7,78,3822,GELAP
3719,2026-06-11 19:16:02.655125+00,26.5,78.4,3826,GELAP
3720,2026-06-11 19:21:03.619316+00,26.2,79.3,3829,GELAP
3721,2026-06-11 19:26:04.461164+00,26.6,79.1,3829,GELAP
3722,2026-06-11 19:31:05.145209+00,26.7,79.9,3831,GELAP
3723,2026-06-11 19:36:06.246342+00,26.7,80.2,3817,GELAP
3724,2026-06-11 19:41:06.968857+00,26.7,81,3828,GELAP
3725,2026-06-11 19:46:07.77343+00,26.7,80.7,3829,GELAP
3726,2026-06-11 19:51:08.609574+00,26.7,77.6,3828,GELAP
3727,2026-06-11 19:56:09.479275+00,26.9,76.1,3829,GELAP
3728,2026-06-11 20:01:10.568855+00,26.9,73.4,3829,GELAP
3729,2026-06-11 20:06:11.522487+00,27.1,73,3828,GELAP
3730,2026-06-11 20:11:12.348878+00,27.1,72.9,3828,GELAP
3731,2026-06-11 20:16:13.220762+00,27,72.2,3828,GELAP
3732,2026-06-11 20:21:14.08598+00,27.1,71.3,3825,GELAP
3733,2026-06-11 20:26:15.014008+00,27,70.5,3819,GELAP
3734,2026-06-11 20:31:15.787604+00,27.1,69.9,3827,GELAP
3735,2026-06-11 20:36:16.818016+00,27.1,69.4,3829,GELAP
3736,2026-06-11 20:41:17.739345+00,26.8,70.1,3830,GELAP
3737,2026-06-11 20:46:18.79623+00,26.9,69.7,3832,GELAP
3738,2026-06-11 20:51:19.848122+00,27.1,69,3828,GELAP
3739,2026-06-11 20:56:20.82137+00,27.1,67.8,3827,GELAP
3740,2026-06-11 21:01:21.871326+00,27.1,66.8,3830,GELAP
3741,2026-06-11 21:12:06.075965+00,27.1,66.2,3834,GELAP
3742,2026-06-11 21:17:07.141834+00,27.1,65.8,3820,GELAP
3743,2026-06-11 21:22:08.223499+00,27.1,66.6,3820,GELAP
3744,2026-06-11 21:27:09.016766+00,27.1,66.3,3837,GELAP
3745,2026-06-11 21:32:18.638135+00,27.1,67.4,3828,GELAP
